Vehicle,Time
Vehicle0,13:26:55
Vehicle0,13:26:56
Vehicle0,13:26:56
Vehicle0,13:26:56
Vehicle0,13:26:56
Vehicle0,13:26:56
Vehicle0,13:26:56
Vehicle0,13:26:56
Vehicle0,13:26:56
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:57
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:58
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:26:59
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:00
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:01
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:02
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:03
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:04
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:05
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:06
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:07
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:08
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:09
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:10
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:11
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:12
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:13
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:14
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:15
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
Vehicle0,13:27:16
