time_of_day,day_of_week,vehicle_count_north,vehicle_count_south,vehicle_count_east,vehicle_count_west,green_light_north,green_light_south,green_light_east,green_light_west,yellow_light_north,yellow_light_south,yellow_light_east,yellow_light_west,red_light_north,red_light_south,red_light_east,red_light_west
6,7,1,35,8,67,30.606060606060606,51.21212121212121,34.84848484848485,70.60606060606061,5,5,5,5,-72.27272727272725,-72.27272727272725,-72.27272727272725,-72.27272727272728
19,1,87,85,33,68,82.72727272727272,81.51515151515152,50.0,71.21212121212122,5,5,5,5,-170.4545454545455,-170.4545454545455,-170.4545454545455,-170.45454545454544
14,2,71,89,45,0,73.03030303030303,83.93939393939394,57.27272727272727,30.0,5,5,5,5,-129.24242424242425,-129.24242424242425,-129.24242424242425,-129.24242424242425
10,6,10,57,77,67,36.06060606060606,64.54545454545455,76.66666666666666,70.60606060606061,5,5,5,5,-132.87878787878788,-132.87878787878788,-132.87878787878788,-132.87878787878788
7,6,63,53,3,11,68.18181818181819,62.121212121212125,31.81818181818182,36.666666666666664,5,5,5,5,-83.78787878787878,-83.78787878787878,-83.78787878787878,-83.78787878787878
20,5,76,11,29,59,76.06060606060606,36.666666666666664,47.57575757575758,65.75757575757575,5,5,5,5,-111.06060606060606,-111.06060606060606,-111.06060606060603,-111.06060606060606
6,6,80,80,94,26,78.48484848484848,78.48484848484848,86.96969696969697,45.75757575757576,5,5,5,5,-174.6969696969697,-174.6969696969697,-174.6969696969697,-174.69696969696975
18,3,71,77,74,55,73.03030303030303,76.66666666666666,74.84848484848484,63.333333333333336,5,5,5,5,-172.87878787878788,-172.87878787878788,-172.87878787878788,-172.87878787878788
22,7,20,13,98,22,42.121212121212125,37.87878787878788,89.3939393939394,43.33333333333333,5,5,5,5,-97.72727272727275,-97.72727272727275,-97.72727272727275,-97.72727272727275
10,4,17,33,71,24,40.303030303030305,50.0,73.03030303030303,44.54545454545455,5,5,5,5,-92.87878787878788,-92.87878787878788,-92.87878787878788,-92.87878787878788
10,5,93,52,2,20,86.36363636363637,61.515151515151516,31.21212121212121,42.121212121212125,5,5,5,5,-106.21212121212122,-106.21212121212122,-106.21212121212125,-106.21212121212122
23,3,63,19,13,60,68.18181818181819,41.515151515151516,37.87878787878788,66.36363636363637,5,5,5,5,-98.93939393939397,-98.93939393939397,-98.93939393939394,-98.93939393939394
20,3,81,74,59,62,79.0909090909091,74.84848484848484,65.75757575757575,67.57575757575758,5,5,5,5,-172.27272727272725,-172.27272727272725,-172.27272727272725,-172.27272727272725
3,1,94,15,76,51,86.96969696969697,39.09090909090909,76.06060606060606,60.90909090909091,5,5,5,5,-148.030303030303,-148.030303030303,-148.030303030303,-148.030303030303
7,6,37,94,44,87,52.42424242424242,86.96969696969697,56.666666666666664,82.72727272727272,5,5,5,5,-163.78787878787875,-163.78787878787875,-163.78787878787875,-163.78787878787875
23,2,31,69,95,24,48.78787878787879,71.81818181818181,87.57575757575756,44.54545454545455,5,5,5,5,-137.7272727272727,-137.7272727272727,-137.7272727272727,-137.72727272727275
2,2,10,55,33,54,36.06060606060606,63.333333333333336,50.0,62.72727272727273,5,5,5,5,-97.12121212121212,-97.12121212121212,-97.12121212121212,-97.12121212121212
21,5,44,82,44,45,56.666666666666664,79.69696969696969,56.666666666666664,57.27272727272727,5,5,5,5,-135.30303030303028,-135.30303030303028,-135.30303030303028,-135.30303030303028
20,7,88,57,60,31,83.33333333333333,64.54545454545455,66.36363636363637,48.78787878787879,5,5,5,5,-148.03030303030306,-148.03030303030306,-148.03030303030306,-148.03030303030306
1,2,32,3,82,54,49.39393939393939,31.81818181818182,79.69696969696969,62.72727272727273,5,5,5,5,-108.63636363636363,-108.63636363636363,-108.6363636363636,-108.63636363636363
23,4,40,3,15,95,54.24242424242424,31.81818181818182,39.09090909090909,87.57575757575756,5,5,5,5,-97.72727272727272,-97.72727272727272,-97.72727272727272,-97.72727272727272
11,2,7,19,65,4,34.24242424242424,41.515151515151516,69.39393939393939,32.42424242424242,5,5,5,5,-62.575757575757564,-62.575757575757564,-62.575757575757564,-62.575757575757564
5,5,10,9,39,35,36.06060606060606,35.45454545454545,53.63636363636364,51.21212121212121,5,5,5,5,-61.363636363636374,-61.363636363636374,-61.363636363636374,-61.363636363636374
1,2,85,23,16,48,81.51515151515152,43.93939393939394,39.696969696969695,59.09090909090909,5,5,5,5,-109.24242424242422,-109.24242424242422,-109.24242424242425,-109.24242424242425
20,4,50,98,33,57,60.303030303030305,89.3939393939394,50.0,64.54545454545455,5,5,5,5,-149.24242424242425,-149.24242424242425,-149.24242424242425,-149.24242424242425
0,1,87,25,15,38,82.72727272727272,45.151515151515156,39.09090909090909,53.03030303030303,5,5,5,5,-105.0,-105.0,-105.0,-105.0
11,7,40,36,59,79,54.24242424242424,51.81818181818182,65.75757575757575,77.87878787878788,5,5,5,5,-134.6969696969697,-134.6969696969697,-134.6969696969697,-134.6969696969697
21,5,16,84,65,96,39.696969696969695,80.9090909090909,69.39393939393939,88.18181818181819,5,5,5,5,-163.1818181818182,-163.1818181818182,-163.1818181818182,-163.1818181818182
11,1,75,53,65,84,75.45454545454545,62.121212121212125,69.39393939393939,80.9090909090909,5,5,5,5,-172.87878787878788,-172.87878787878788,-172.87878787878788,-172.87878787878788
16,1,45,20,89,60,57.27272727272727,42.121212121212125,83.93939393939394,66.36363636363637,5,5,5,5,-134.69696969696972,-134.69696969696972,-134.69696969696972,-134.69696969696972
9,1,31,73,12,8,48.78787878787879,74.24242424242425,37.27272727272727,34.84848484848485,5,5,5,5,-80.15151515151516,-80.15151515151516,-80.15151515151516,-80.15151515151516
15,3,78,37,55,5,77.27272727272728,52.42424242424242,63.333333333333336,33.03030303030303,5,5,5,5,-111.06060606060606,-111.06060606060606,-111.06060606060609,-111.06060606060609
14,7,79,45,30,34,77.87878787878788,57.27272727272727,48.18181818181819,50.60606060606061,5,5,5,5,-118.93939393939394,-118.93939393939394,-118.93939393939394,-118.93939393939397
14,6,53,3,33,38,62.121212121212125,31.81818181818182,50.0,53.03030303030303,5,5,5,5,-81.96969696969697,-81.96969696969697,-81.96969696969697,-81.96969696969697
18,7,85,59,38,21,81.51515151515152,65.75757575757575,53.03030303030303,42.72727272727273,5,5,5,5,-128.030303030303,-128.030303030303,-128.03030303030303,-128.03030303030303
11,3,91,56,66,40,85.15151515151516,63.93939393939394,70.0,54.24242424242424,5,5,5,5,-158.33333333333331,-158.33333333333331,-158.33333333333331,-158.33333333333337
22,6,19,44,7,4,41.515151515151516,56.666666666666664,34.24242424242424,32.42424242424242,5,5,5,5,-49.84848484848487,-49.84848484848487,-49.848484848484816,-49.848484848484844
19,7,32,19,86,41,49.39393939393939,41.515151515151516,82.12121212121212,54.848484848484844,5,5,5,5,-112.87878787878788,-112.87878787878788,-112.87878787878785,-112.87878787878788
2,1,73,16,77,86,74.24242424242425,39.696969696969695,76.66666666666666,82.12121212121212,5,5,5,5,-157.72727272727275,-157.72727272727275,-157.72727272727275,-157.72727272727275
4,5,39,70,54,80,53.63636363636364,72.42424242424242,62.72727272727273,78.48484848484848,5,5,5,5,-152.27272727272725,-152.27272727272725,-152.27272727272725,-152.2727272727273
18,6,31,3,26,75,48.78787878787879,31.81818181818182,45.75757575757576,75.45454545454545,5,5,5,5,-86.81818181818181,-86.81818181818181,-86.81818181818181,-86.81818181818181
6,4,96,92,92,86,88.18181818181819,85.75757575757575,85.75757575757575,82.12121212121212,5,5,5,5,-226.8181818181818,-226.8181818181818,-226.8181818181818,-226.8181818181818
20,4,1,13,52,79,30.606060606060606,37.87878787878788,61.515151515151516,77.87878787878788,5,5,5,5,-92.87878787878788,-92.87878787878788,-92.87878787878788,-92.87878787878788
8,2,96,2,38,66,88.18181818181819,31.21212121212121,53.03030303030303,70.0,5,5,5,5,-127.42424242424244,-127.42424242424244,-127.42424242424244,-127.42424242424244
6,6,32,87,64,29,49.39393939393939,82.72727272727272,68.78787878787878,47.57575757575758,5,5,5,5,-133.4848484848485,-133.4848484848485,-133.48484848484844,-133.48484848484847
17,5,76,79,16,56,76.06060606060606,77.87878787878788,39.696969696969695,63.93939393939394,5,5,5,5,-142.57575757575756,-142.57575757575756,-142.57575757575756,-142.57575757575756
3,3,29,57,29,85,47.57575757575758,64.54545454545455,47.57575757575758,81.51515151515152,5,5,5,5,-126.21212121212119,-126.21212121212119,-126.21212121212119,-126.21212121212119
13,1,32,54,52,72,49.39393939393939,62.72727272727273,61.515151515151516,73.63636363636364,5,5,5,5,-132.27272727272725,-132.27272727272725,-132.27272727272725,-132.27272727272725
17,2,76,3,12,28,76.06060606060606,31.81818181818182,37.27272727272727,46.96969696969697,5,5,5,5,-77.12121212121212,-77.12121212121212,-77.12121212121212,-77.12121212121212
8,4,25,23,20,36,45.151515151515156,43.93939393939394,42.121212121212125,51.81818181818182,5,5,5,5,-68.03030303030303,-68.03030303030303,-68.03030303030303,-68.03030303030303
20,3,21,33,18,86,42.72727272727273,50.0,40.90909090909091,82.12121212121212,5,5,5,5,-100.75757575757575,-100.75757575757575,-100.75757575757575,-100.75757575757575
1,3,65,29,52,12,69.39393939393939,47.57575757575758,61.515151515151516,37.27272727272727,5,5,5,5,-100.75757575757578,-100.75757575757578,-100.75757575757578,-100.75757575757575
19,1,37,81,18,31,52.42424242424242,79.0909090909091,40.90909090909091,48.78787878787879,5,5,5,5,-106.21212121212119,-106.21212121212119,-106.21212121212122,-106.21212121212122
14,6,89,18,56,45,83.93939393939394,40.90909090909091,63.93939393939394,57.27272727272727,5,5,5,5,-131.06060606060606,-131.06060606060606,-131.06060606060606,-131.06060606060606
6,4,45,30,24,22,57.27272727272727,48.18181818181819,44.54545454545455,43.33333333333333,5,5,5,5,-78.33333333333331,-78.33333333333331,-78.33333333333331,-78.33333333333331
11,5,14,59,85,44,38.484848484848484,65.75757575757575,81.51515151515152,56.666666666666664,5,5,5,5,-127.42424242424241,-127.42424242424241,-127.42424242424241,-127.42424242424244
7,3,97,59,30,16,88.78787878787878,65.75757575757575,48.18181818181819,39.696969696969695,5,5,5,5,-127.42424242424241,-127.42424242424241,-127.42424242424241,-127.42424242424241
14,1,43,18,80,84,56.06060606060606,40.90909090909091,78.48484848484848,80.9090909090909,5,5,5,5,-141.36363636363637,-141.36363636363637,-141.36363636363637,-141.36363636363637
2,5,48,48,54,65,59.09090909090909,59.09090909090909,62.72727272727273,69.39393939393939,5,5,5,5,-135.3030303030303,-135.3030303030303,-135.3030303030303,-135.3030303030303
13,6,74,62,22,5,74.84848484848484,67.57575757575758,43.33333333333333,33.03030303030303,5,5,5,5,-103.78787878787878,-103.78787878787878,-103.78787878787878,-103.78787878787875
16,4,60,82,31,17,66.36363636363637,79.69696969696969,48.78787878787879,40.303030303030305,5,5,5,5,-120.15151515151516,-120.15151515151516,-120.15151515151516,-120.15151515151516
3,6,66,21,61,93,70.0,42.72727272727273,66.96969696969697,86.36363636363637,5,5,5,5,-151.06060606060606,-151.06060606060606,-151.06060606060606,-151.06060606060606
17,3,5,23,73,21,33.03030303030303,43.93939393939394,74.24242424242425,42.72727272727273,5,5,5,5,-78.93939393939394,-78.93939393939394,-78.93939393939394,-78.93939393939394
7,5,8,75,9,32,34.84848484848485,75.45454545454545,35.45454545454545,49.39393939393939,5,5,5,5,-80.15151515151513,-80.15151515151513,-80.15151515151513,-80.15151515151513
3,5,5,29,99,29,33.03030303030303,47.57575757575758,90.0,47.57575757575758,5,5,5,5,-103.18181818181819,-103.18181818181819,-103.18181818181819,-103.18181818181819
1,5,72,57,71,80,73.63636363636364,64.54545454545455,73.03030303030303,78.48484848484848,5,5,5,5,-174.6969696969697,-174.6969696969697,-174.69696969696975,-174.69696969696975
5,3,94,30,53,31,86.96969696969697,48.18181818181819,62.121212121212125,48.78787878787879,5,5,5,5,-131.06060606060606,-131.06060606060606,-131.06060606060606,-131.06060606060606
21,3,31,99,51,41,48.78787878787879,90.0,60.90909090909091,54.848484848484844,5,5,5,5,-139.5454545454545,-139.5454545454545,-139.5454545454545,-139.5454545454545
9,6,40,63,19,77,54.24242424242424,68.18181818181819,41.515151515151516,76.66666666666666,5,5,5,5,-125.6060606060606,-125.6060606060606,-125.6060606060606,-125.60606060606062
3,2,75,18,31,9,75.45454545454545,40.90909090909091,48.78787878787879,35.45454545454545,5,5,5,5,-85.60606060606062,-85.60606060606062,-85.60606060606062,-85.6060606060606
21,6,7,47,13,35,34.24242424242424,58.484848484848484,37.87878787878788,51.21212121212121,5,5,5,5,-66.81818181818181,-66.81818181818181,-66.81818181818184,-66.81818181818181
17,4,71,44,49,33,73.03030303030303,56.666666666666664,59.6969696969697,50.0,5,5,5,5,-124.39393939393938,-124.39393939393938,-124.3939393939394,-124.39393939393938
11,1,49,99,27,72,59.6969696969697,90.0,46.36363636363636,73.63636363636364,5,5,5,5,-154.6969696969697,-154.6969696969697,-154.6969696969697,-154.6969696969697
1,5,91,93,52,27,85.15151515151516,86.36363636363637,61.515151515151516,46.36363636363636,5,5,5,5,-164.39393939393943,-164.39393939393943,-164.39393939393943,-164.39393939393938
9,2,61,54,23,10,66.96969696969697,62.72727272727273,43.93939393939394,36.06060606060606,5,5,5,5,-94.69696969696969,-94.69696969696969,-94.69696969696969,-94.69696969696969
3,1,83,54,78,77,80.3030303030303,62.72727272727273,77.27272727272728,76.66666666666666,5,5,5,5,-181.969696969697,-181.96969696969694,-181.96969696969694,-181.96969696969694
13,2,61,96,21,38,66.96969696969697,88.18181818181819,42.72727272727273,53.03030303030303,5,5,5,5,-135.9090909090909,-135.9090909090909,-135.9090909090909,-135.9090909090909
15,7,6,17,29,46,33.63636363636364,40.303030303030305,47.57575757575758,57.878787878787875,5,5,5,5,-64.39393939393938,-64.39393939393938,-64.3939393939394,-64.39393939393938
14,6,74,62,62,18,74.84848484848484,67.57575757575758,67.57575757575758,40.90909090909091,5,5,5,5,-135.9090909090909,-135.9090909090909,-135.9090909090909,-135.90909090909088
7,3,83,91,3,14,80.3030303030303,85.15151515151516,31.81818181818182,38.484848484848484,5,5,5,5,-120.75757575757575,-120.75757575757575,-120.75757575757575,-120.75757575757575
13,5,79,46,76,27,77.87878787878788,57.878787878787875,76.06060606060606,46.36363636363636,5,5,5,5,-143.1818181818182,-143.1818181818182,-143.1818181818182,-143.1818181818182
22,6,3,74,58,23,31.81818181818182,74.84848484848484,65.15151515151516,43.93939393939394,5,5,5,5,-100.75757575757575,-100.75757575757575,-100.75757575757575,-100.75757575757575
7,1,5,56,86,71,33.03030303030303,63.93939393939394,82.12121212121212,73.03030303030303,5,5,5,5,-137.12121212121212,-137.12121212121212,-137.12121212121212,-137.12121212121212
20,7,57,44,7,8,64.54545454545455,56.666666666666664,34.24242424242424,34.84848484848485,5,5,5,5,-75.30303030303031,-75.30303030303031,-75.30303030303028,-75.30303030303031
15,7,21,32,81,46,42.72727272727273,49.39393939393939,79.0909090909091,57.878787878787875,5,5,5,5,-114.0909090909091,-114.0909090909091,-114.09090909090907,-114.0909090909091
12,7,25,16,11,32,45.151515151515156,39.696969696969695,36.666666666666664,49.39393939393939,5,5,5,5,-55.90909090909088,-55.90909090909088,-55.90909090909088,-55.90909090909091
17,1,2,69,30,61,31.21212121212121,71.81818181818181,48.18181818181819,66.96969696969697,5,5,5,5,-103.18181818181819,-103.18181818181819,-103.18181818181819,-103.18181818181819
14,1,40,3,77,96,54.24242424242424,31.81818181818182,76.66666666666666,88.18181818181819,5,5,5,5,-135.9090909090909,-135.9090909090909,-135.9090909090909,-135.9090909090909
20,1,59,19,33,18,65.75757575757575,41.515151515151516,50.0,40.90909090909091,5,5,5,5,-83.18181818181816,-83.18181818181816,-83.18181818181816,-83.18181818181819
23,1,13,46,81,66,37.87878787878788,57.878787878787875,79.0909090909091,70.0,5,5,5,5,-129.84848484848484,-129.84848484848484,-129.84848484848484,-129.84848484848484
12,7,74,90,97,73,74.84848484848484,84.54545454545455,88.78787878787878,74.24242424242425,5,5,5,5,-207.42424242424238,-207.42424242424238,-207.42424242424244,-207.42424242424238
8,7,81,14,74,39,79.0909090909091,38.484848484848484,74.84848484848484,53.63636363636364,5,5,5,5,-131.06060606060606,-131.06060606060606,-131.06060606060606,-131.0606060606061
14,2,11,69,75,46,36.666666666666664,71.81818181818181,75.45454545454545,57.878787878787875,5,5,5,5,-126.81818181818181,-126.81818181818181,-126.81818181818181,-126.81818181818181
12,6,86,46,48,64,82.12121212121212,57.878787878787875,59.09090909090909,68.78787878787878,5,5,5,5,-152.87878787878788,-152.87878787878788,-152.87878787878788,-152.87878787878788
0,5,11,77,78,28,36.666666666666664,76.66666666666666,77.27272727272728,46.96969696969697,5,5,5,5,-122.57575757575756,-122.57575757575756,-122.57575757575756,-122.57575757575756
6,3,12,74,56,49,37.27272727272727,74.84848484848484,63.93939393939394,59.6969696969697,5,5,5,5,-120.75757575757575,-120.75757575757575,-120.75757575757575,-120.75757575757575
8,7,24,8,94,97,44.54545454545455,34.84848484848485,86.96969696969697,88.78787878787878,5,5,5,5,-140.15151515151513,-140.15151515151513,-140.15151515151513,-140.15151515151513
23,3,44,89,92,12,56.666666666666664,83.93939393939394,85.75757575757575,37.27272727272727,5,5,5,5,-148.63636363636363,-148.63636363636363,-148.63636363636363,-148.63636363636363
0,6,18,15,25,0,40.90909090909091,39.09090909090909,45.151515151515156,30.0,5,5,5,5,-40.151515151515156,-40.151515151515156,-40.151515151515156,-40.151515151515156
11,6,54,68,17,33,62.72727272727273,71.21212121212122,40.303030303030305,50.0,5,5,5,5,-109.24242424242425,-109.24242424242425,-109.24242424242425,-109.24242424242425
